rota,modulo,grupo,title,description,estado
/,Início,,Plataforma de gestão de eventos esportivos,"A Atletis ajuda organizadores a criar eventos esportivos, vender inscrições online, gerenciar participantes e receber pagamentos.",ativa
/atletas/como-se-inscrever,Para atletas,Primeiros passos,Como se inscrever em um evento esportivo,"Passo a passo para se inscrever em um evento esportivo na Atletis: escolha a categoria, pague e receba a confirmação.",ativa
/atletas/encontrar-eventos,Para atletas,Primeiros passos,Encontre eventos esportivos em todo o Brasil,"Corridas, ciclismo, triathlon, vôlei e mais. Encontre seu próximo evento, veja os preços e inscreva-se online.",ativa
/atletas/formas-de-pagamento,Para atletas,Primeiros passos,Formas de pagamento para inscrições em eventos,"Inscrições podem ser pagas por Pix, cartão de crédito em até 12x ou boleto bancário. Veja como cada uma funciona.",ativa
/atletas/minhas-inscricoes,Para atletas,Minha conta,Veja e gerencie suas inscrições em eventos,"Acesse suas inscrições na Atletis, baixe o comprovante em PDF com QR Code e confira o status do pagamento antes da prova.",ativa
/atletas/perguntas-frequentes,Para atletas,Minha conta,Perguntas frequentes sobre inscrição em eventos,"Dúvidas comuns de atletas sobre inscrição em eventos, pagamentos, reembolso, comprovante e gerenciamento da conta na Atletis.",ativa
/inicio-rapido,Para organizadores,Primeiros passos,Publique seu primeiro evento esportivo online,"Crie sua conta na Atletis, configure seu primeiro evento esportivo e abra as inscrições com este guia passo a passo.",ativa
/introducao,Para organizadores,Primeiros passos,Visão geral para organizadores de eventos,"Plataforma para criar, gerenciar e vender inscrições de eventos esportivos. Veja o que ela oferece a organizadores.",ativa
/organizadores/assessorias,Para organizadores,Recursos avançados,Inscrições em lote para assessorias esportivas,"Assessorias compram inscrições em lote para seus atletas: pedido único, pagamento único e nomeação dos atletas depois.",ativa
/organizadores/categorias,Para organizadores,Configuração do evento,Configure categorias e ingressos do evento,"Entenda categoria e ingresso na Atletis: a categoria agrupa a vitrine, o ingresso carrega preço, vagas e período de venda.",ativa
/organizadores/check-in,Para organizadores,Dia do evento,Check-in de participantes pelo navegador,"O check-in roda no navegador, sem instalar nada. Credencie participantes por QR Code e acompanhe a presença ao vivo.",ativa
/organizadores/criar-evento,Para organizadores,Configuração do evento,Como criar e publicar um evento esportivo,"Crie e configure um evento esportivo, da escolha do nome à publicação com uma página de inscrição compartilhável.",ativa
/organizadores/cupons-de-desconto,Para organizadores,Inscrições e vendas,Crie cupons de desconto para as inscrições,"Crie cupons de valor fixo, percentual, cortesia e cortesia equipe na Atletis para patrocinadores, assessorias e convidados.",ativa
/organizadores/formulario-de-inscricao,Para organizadores,Configuração do evento,Monte o formulário de inscrição do evento,"Monte o formulário de inscrição do seu evento na Atletis e colete só o que precisa: tamanho de kit, equipe, pace e tempo previsto.",ativa
/organizadores/gestao-de-inscricoes,Para organizadores,Inscrições e vendas,Gerencie inscrições e participantes em tempo real,"Veja, filtre e gerencie todas as inscrições no painel do organizador. Acompanhe vendas ao vivo e exporte os dados.",ativa
/organizadores/lista-de-participantes,Para organizadores,Dia do evento,Exporte a lista de participantes do evento,Acesse e exporte a lista completa de participantes a qualquer momento para preparar kits e planejar a logística.,ativa
/organizadores/lotes,Para organizadores,Inscrições e vendas,Configure lotes de inscrição e virada de preço,Configure lotes de inscrição na Atletis e programe a virada automática de preço por data ou por quantidade de inscritos.,ativa
/organizadores/pagamentos,Para organizadores,Inscrições e vendas,Formas de pagamento e prazo de repasse do evento,"Pix, cartão em até 12x e boleto nas inscrições da Atletis. Veja como cada forma funciona e quando o repasse cai na sua conta.",ativa
/organizadores/pagina-do-evento,Para organizadores,Configuração do evento,Monte e personalize a página do seu evento,"Monte a página do seu evento na Atletis com descrição, fotos, regulamento e botão de inscrição para converter mais inscritos.",ativa
/organizadores/perguntas-frequentes,Para organizadores,Recursos avançados,Perguntas frequentes de organizadores de evento,"Dúvidas de organizadores sobre a Atletis: configuração do evento, lotes, taxa, repasse, cupons, check-in e gestão de inscrições.",ativa
/organizadores/relatorios,Para organizadores,Dia do evento,Relatórios financeiros e análise de vendas,"Acompanhe as vendas em tempo real, a receita por categoria e lote, e exporte os dados financeiros do seu evento.",ativa
/organizadores/white-label,Para organizadores,Recursos avançados,White label para grandes organizadores esportivos,"Realize eventos com a sua própria marca: domínio personalizado, atendimento dedicado e resultados integrados.",ativa
/precos,Para organizadores,Primeiros passos,Preços: grátis para eventos com inscrição gratuita,Não cobramos nada em eventos gratuitos. Em eventos pagos há uma taxa por inscrição. Veja a tabela completa.,ativa
/quem-organiza,Início,,Depoimentos de quem organiza eventos esportivos,Organizadores e atletas contam como é usar a Atletis para vender inscrições e gerenciar seus eventos esportivos.,ativa
